CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
260219,CENTELLOGRAMA DE PANCREAS.                        ,1-260219,CENTELLOGRAMA DE PANCREAS.                            
260220,CENTELLOGRAMA DE BAZO.                            ,1-260220,CENTELLOGRAMA DE BAZO.                                
260221,CENTELLOGRAMA RENAL BILATERAL                  ,1-260221,CENTELLOGRAMA RENAL -BILATERAL-.                      
260222,CENTELLOGRAFIA DE POOL VASCULAR RENAL                ,1-260222,CENTELLOGRAFIA POOL VASCULAR RENAL                    
260223,CENTELLOGRAMA DE PLACENTA.                        ,1-260223,CENTELLOGRAMA DE PLACENTA.                            
260224,CENTELLOGRAMA DE VIAS LINFATICAS                  ,1-260224,CENTELLOGRAMA DE VIAS LINFATICAS                      
260225,CENTELLOGRAMA VIAS LINFATICAS - POSICIONES ADICIONALES  ,1-260225,CENTELLOGRAMA VIAS LINFATICAS-POSICION ADICIONAL      
260226,CENTELLOGRAMA TESTICULAR                          ,7-269012,CENTELLOGRAMA TESTICULAR                              
,260226,7-269013,CENTELLOGRAMA TESTICULAR DINAMICO                 
260227,CISTOGRAFIA RADIOISOTOPICA - EN CAMARA GAMMA - ,7-269016,CISTOGRAFIA DIRECTA ACTIVA -PASIVA                    
,260227,7-269017,CISTOGRAFIA INDIRECTA                             
260230,SPECT CEREBRAL                                    ,7-260230,SPECT CEREBRAL                                        
260231,SPECT CARDIACO-CORONARIO ESTUDIO DE PERFUSION CON TALIO 201 ESFUERZO Y REDISTRIBUCION  ,7-260231,SPECT CARDIO-CORONARIO PERFU.TALIO 21 ESFUERZO        
260232,SPECT CARDIACO-CORONARIO  ESTUDIO DE PERFUSION CON TALIO 201 DIPIRIDAMOL Y REDISTRIBUCION,7-260232,SPECT CARDIO-CORONARIO PERFU.TALIO 21 DIPIRIDAMOL     
260233,SPECT CARDIACO-CORONARIO  ESTUDIO DE PERFUSION CON TALIO 201 DOBUTAMINA Y 4 HS,7-260233,SPECT CARDIO-CORONARIO PERFU.TALIO 21 DOBUTAMINA      
260234,"ESTUDIO DE LA FUNCION VENTRICULAR IZQUIERDA Y PERFUSION MIOCARDICA CON SPECT REPOSO, ESFUERZO CON MIBI TC 99M",7-260234,ESTUDIO FUNCION VENTRICULAR IZQUIERDA Y PERFUSION     
,260234,7-269026,MEDICINA NUCLEAR REPOSO Y POST NITRITO            
260235,SPECT PULMONAR                                    ,7-260235,SPECT PULMONAR                                        
260236,SPECT RENAL                                       ,7-260236,SPECT RENAL                                           
260237,SPECT HEPATO-ESPLENICO                               ,7-269034,SPECT HEPATICO                                        
,260237,7-269033,SPECT ESPLENICO                                   
,DETERMINACIONES POR RADIOINMUNOENSAYO - RIE -,CELDA VACÍA,
260301,A C T H.                                          ,1-260301,A C T H.                                              
260302,ALDOSTERONA.                                      ,1-260302,ALDOSTERONA.                                          
260303,ALFAFETOPROTEINAS.                                ,1-260303,ALFAFETOPROTEINAS.                                    
260304,ANTICUERPOS ANTINUCLEARES PLASMATICOS        ,1-260304,ANTICUERPOS ANTINUCLEARES PLASMATICO                  
260305,ANGIOTENSINA I O II                                   ,1-260305,ANGIOTENSINA O.                                       
260306,ANTIGENO DE LA HEPATITIS B.                       ,1-260306,ANTIGENO DE LA HEPATITIS B.                           
260307,AMP-CICLICO.                                      ,1-260307,AMP-CICLICO.                                          
260308,CALCITONINA.                                      ,1-260308,CALCITONINA.                                          
260309,CEA -CARCINOMA EMBRIOGENICO-.                     ,1-260309,CEA -CARCINOMA EMBRIOGENICO-.                         
260310,CORTISOL.                                         ,1-260310,CORTISOL.                                             
260311,DIGITOXINA.                                       ,1-260311,DIGITOXINA.                                           
260312,DIGOXINA.                                         ,1-260312,DIGOXINA.                                             
260313,ESTRADIOL.                                        ,1-260313,ESTRADIOL.                                            
260314,ESTROGENOS TOTALES.                               ,1-260314,ESTROGENOS TOTALES.                                   
260315,ESTRIOL PLASMATICO.                               ,1-260315,ESTRIOL PLASMATICO.                                   
260316,ESTRONA.                                          ,1-260316,ESTRONA.                                              
260317,FERRITINA PLASMATICA.                             ,1-260317,FERRITINA PLASMATICA.                                 
260318,F S H.                                            ,1-260318,F S H.                                                
260319,GLUCAGON PLASMATICO.                              ,1-260319,GLUCAGON PLASMATICO.                                  
260320,LACTOGENO PLACENTARIO.                            ,1-260320,LACTOGENO PLACENTARIO.                                
260321,L H.                                              ,1-260321,L H.                                                  
260322,INMUNOGLOBULINA.                                  ,1-260322,INMUNOGLOBULINA.                                      
260323,INSULINA.                                         ,1-260323,INSULINA.                                             
260324,PARATHORMONA.                                     ,1-260324,PARATHORMONA.                                         
260325,POLIPEPTIDO INHIBIDOR GASTRICO (G.I.P.) PLASMATICO          ,1-260325,POLIPEPTIDO INHIBIDOR GASTRICO                        
260326,POLIPEPTIDO INTESTINAL VASOACTIVO (V.I.P.) PLASMA   ,1-260326,POLIPEPTIDO INTESTINAL VASOACTIVO                     
260327,POLIPEPTIDO PANCREATICO.                          ,1-260327,POLIPEPTIDO PANCREATICO.                              
260328,PROINSULINA.                                      ,1-260328,PROINSULINA.                                          
260329,PROGESTERONA.                                     ,1-260329,PROGESTERONA.                                         
260330,PROLACTINA                                        ,1-260330,PROLACTINA                                            
260331,"PROSTAGLANDINA  E, o F, o P.G.A., o P.G.B., o P.G.F.I.        ",1-260331,PROSTAGLANDINA                                        
260332,RENINA.                                           ,1-260332,RENINA.                                               
260333,SOMATOTROFINA -STH-.                              ,1-260333,SOMATOTROFINA -STH-.                                  
260334,TESTOSTERONA.                                     ,1-260334,TESTOSTERONA.                                         
260335,TIROXINA PLASMATICA TOTAL -T4-.                   ,1-260335,TIROXINA PLASMATICA TOTAL -T4-.                       
260336,TIROXINA EFECTIVA -ERT-.                          ,1-260336,TIROXINA EFECTIVA -ERT-.                              
260337,TRI-IODOTIRONINA -T3-.                            ,1-260337,TRI-IODOTIRONINA -T3-.                                
260338,TIROTROFINA -TSH-.                                ,1-260338,TIROTROFINA -TSH-.                                    
,PRUEBAS A DETRMINAR EL RETROMECANISMO HORMONAL,CELDA VACÍA,
260401,PRUEBA DE ESTIMULO DE LA SECRECION DE SOMATROTOFINA CON DETERMINACION DE STH   ,1-260401,PRUE.ESTIMULO SECREC.SOMATROTOFINA C/DETER. STH       
260402,PRUEBA DE FRENO DE LA SECRECION DE SOMATROTOFINA - CON DETERMINACION DE SOMATOTROFINA -         ,1-260402,PRUE.FRENO SECRECION SOMATROTOFINA                    
260403,PRUEBA DE ESTIMULO HIPOTALAMO-HIPOFISIARIA CON DETERMINACION DE FSH,1-260403,TEST ESTIMULO HIPOTALAMO-HIPOFISIARIA DETERMIN FSH    
260404,PRUEBA DE ESTIMULO HIPOTALAMO-HIPOFISIARIA CON DETERMINACION DE LH ,1-260404,TEST ESTIMULO HIPOTALAMO-HIPOFISIARIA DETERMIN LH     
260405,PRUEBA DE ESTIMULO GONADAL CON HORMONA GONATROPA CORIONICA HCG CON DETERMINACION DE ESTROGENOS TOTALES,1-260405,TEST ESTIMULO GONADAL HCG DETERMIN. ESTROGENOS        
260406,PRUEBA DE ESTIMULO GONADAL CON HCG CON DETERMINACION DE TESTOSTERONA  ,1-260406,TEST ESTIMULO GONADAL HCG DETERMIN. TESTOSTERONA      
260407,PRUEBA DE ESTIMULO CON TRH CON DETERMINACION DE TSH Y TIROXINA PLASMATICA ,1-260407,PRUE.ESTIMULO C/ TRH C/DETER. TSH Y TIROX. PLASM.     
260408,PRUEBA DE ESTIMULO CON TRH CON DETERMINACION DE TSH                 ,1-260408,PRUE.ESTIMULO C/ TRH C/DETER. TSH                     
260409,PRUEBA DE ESTIMULO HIPOTALAMICO-HIPOFISIARIO CON DETERMINACION DE ACTH  ,1-260409,ESTIMULO HIPOTALAMICO-HIPOFISIARIO C/DETER. ACTH      
260410,INHIBICION HIPOTALAMICO-HIPOFISIARIA CON DETERMINACION DE ACTH           ,1-260410,INHIBICION HIPOTALAMICO-HIPOFISIARIA                  
260411,PRUEBAS DE INHIBICION DE MUQUET O SIMILARES CON DETERMINACION DE CORTISOL ,1-260411,PRUEBAS DE INHIBICION DE MUQUET C/DETER. CORTISOL     
260412,ESTUDIO DEL RITMO CIRCADIANO DE CORTISOL               ,1-260412,ESTUDIO DEL RITMO CIRCADIANO                          
260413,PRUEBA DE ESTIMULO HIPOTALAMICO-HIPOFISIARIO CON DETERMINACION DE PROLACTINA                    ,1-260413,PRUEBA ESTIMULO HIPOTALAMICA                          
260414,PRUEBA DE INHIBICION HIPOTALAMICO-HIPOFISARIA CON DETERMINACION DE PROLACTINA,1-260414,TEST INHIBICION HIPOTALAM-HIPOF DETERMIN PROLACTIN    
260415,TEST DE RESPIRACION CON CARBONO 14,,
260416,ESTUDIO DE MOTILIDAD MUCOCILAR CON TECNICA RADIOISOTOPICA,,
260416,ESTUDIO DE MOTILIDAD MUCOCILAR CON TECNICA RADIOISOTOPICA,7-265042,ESTUDIO DE MOTILIDAD MUCOCILAR C/NANOCOLOIDE      
,CENTELLOGRAMA A CABEZAL FIJO - CAMARA GAMMA -,CELDA VACÍA,
260501,CENTELLOGRAMA DE CEREBRO - 2 POSICIONES -                ,1-260501,CENTELLOGRAMA CEREBRO-2 POSICIONES                    
260502,CENTELLOGRAMA CEREBRO - POSICION SUBSIGUIENTE       ,1-260502,CENTELLOGRAMA CEREBRO-POSICION SUBSIGUIENTE           
260503,CENTELLOGRAMA DE MEDULA OSEA.                    ,1-260503,CENTELLOGRAFIA DE MEDULA OSEA.                        
260504,MIELOGRAFIA ISOTOPICA.                            ,1-260504,MIELOGRAFIA ISOTOPICA.                                
260505,CISTERNOGRAFIA ISOTOPICA,1-260505,CISTERNOGRAFIA ISOTOPICA-S/HONORARIO-CABEZAL FIJO     
260506,FISTULOGRAFIA ISOTOPICA DEL L.C.R.                ,1-260506,FISTULOGRAFIA ISOTOPICA DEL L.C.R.                    
260507,VENTRICULOGRAFIA ISOTOPICA.                       ,1-260507,VENTRICULOGRAFIA ISOTOPICA.                           
260508,CENTELLOGRAMA OSEO                                ,1-260508,CENTELLOGRAMA OSEO                                    
260509,CENTELLOGRAMA OSEO - AREAS SUBSIGUIENTES -           ,1-260509,CENTELLOGRAMA OSEO  AREAS SUBSIGUIENTES              
,260509,7-269010,CENTELLOGRAMA OSEO 3 FASES                        
260510,CENTELLOGRAFIA DE ARTICULACIONES - INCLUYE ARTROCENTESIS - ,1-260510,CENTELLOGRAFIA DE ARTICULACIONES C/ ARTROCENTESIS     
260511,CENTELLOGRAMA DE TIROIDES                  ,1-260511,CENTELLOGRAMA DE TIROIDES I 131                       
260512,CENTELLOGRAMA DE TIROIDES Y MEDIASTINO               ,1-260512,CENTELLOGRAMA TIROIDES Y MEDIASTINO                   
260513,BARRIDO TOTAL PARA CARCINOMA TIROIDES                ,1-260513,BARRIDO TOTAL P/CARCINOMA TIROIDES                    
260514,CENTELLOGRAMA DE PARATIROIDES.                    ,1-260514,CENTELLOGRAMA DE PARATIROIDES.                        
,260514,7-269011,CENTELLOGRAMA PARATIROIDES CON SUSTRACCION        
260515,CENTELLOGRAMA DE GLANDULAS SALIVALES              ,1-260515,CENTELLOGRAMA DE GLANDULAS SALIVALES                  
260516,CENTELLOGRAMA PULMON  - 2 POSICIONES -               ,1-260516,CENTELLOGRAMA PULMON -2 POSICIONES-                   
260516,CENTELLOGRAMA PULMON  - 2 POSICIONES -               ,7-265040,MICROASPIRACION PULMONAR EN GAMMACAMARA           
260517,CENTELLOGRAMA HEPATICO - 2 POSICIONES -              ,1-260517,CENTELLOGRAMA HEPATICO-2 POSICIONES-                  
260518,CENTELLOGRAFIA DEL POOL VASCULAR HEPATICO           ,1-260518,CENTELLOGRAFIA POOL VASCULAR HEPATIC                  
260519,CENTELLOGRAMA DE PANCREAS.                        ,1-260519,CENTELLOGRAMA DE PANCREAS.                            
260520,CENTELLOGRAMA DE BAZO.                            ,1-260520,CENTELLOGRAMA DE BAZO.                                
260521,CENTELLOGRAMA RENAL BILATERAL.                  ,1-260521,CENTELLOGRAMA RENAL -BILATERAL-.                      
260522,CENTELLOGRAFIA DEL POOL VASCULAR RENAL                ,1-260522,CENTELLOGRAFIA POOL VASCULAR RENAL                    
260523,CENTELLOGRAMA DE PLACENTA.                        ,1-260523,CENTELLOGRAMA DE PLACENTA.                            
260524,"CENTELLOGRAMA DE VIAS LINFATICAS, ABDOMINOINGUINALES AXILARES Y/O MEDIASTINALES           ",1-260524,CENTELLOGRAMA DE VIAS LINFATICAS                      
260524,"CENTELLOGRAMA DE VIAS LINFATICAS, ABDOMINOINGUINALES AXILARES Y/O MEDIASTINALES           ",1-260533,DETECCION DE GANGLIO CENTINELA Y CADENA MAMARIA IN
,260524,7-269039,LINFOCENTELLOGRAFIA PARA GANGLIO CENTENELA        
260525,ANGIOGRAFIA RADIOISOTOPICA POR AREA.              ,1-260525,ANGIOGRAFIA RADIOISOTOPICA POR AREA.                  
,260525,7-265002,ANGIOGRAFIA PERIFERICA                            
,260525,7-269002,ANGIOGRAFIA RADIOISOTOPICA DE ARTICULACIONES - CAM
,260525,7-269003,ANGIOGRAFIA RADIOISOTOPICA DE ESTUDIO DE MEDULA OS
,260525,7-269004,ANGIOGRAFIA RADIOISOTOPICA DE ESTUDIO PULMONAR - C
,260525,7-269005,ANGIOGRAFIA RADIOISOTOPICA DE ESTUDIOS LOCALIZADOS
,260525,7-269006,ANGIOGRAFIA DIGITAL                               
260526,ESTUDIO DINAMICO RENAL.                           ,1-260526,ESTUDIO DINAMICO RENAL.                               
260527,RADIOCARDIOGRAMA.                                 ,1-260527,RADIOCARDIOGRAMA.                                     
260528,PERFUSION SANGUINEA MIOCARDICA CON RADIOISOTOPOS    ,1-260528,PERFUSION SANGUINEA MIOCARDICA C/RADIOISOTOPOS        
260529,"FLEBOGRAFIA RADIOISOTOPICA POR AREAS SAFENAS, FEMORALES, ILIACAS, HUMERAL       ",1-260529,FLEBOGRAFIA RADIOISOTOPICA POR AREAS                  
260530,FLEBOGRAFIA RADIOISOTOPICA POR AREA ADICIONAL    ,1-260530,FLEBOGRAFIA RADIOISOTOPICA POR AREAS ADICIONAL        
,260530,7-269021,FLEBOGRAFIA CON PASAJE PULMONAR                   
260531,DINAMICA DEL TRANSITO ESOFAGO-GASTRICO           ,1-260531,DINAMICA DEL TRANSITO ESOFAGO-GASTRI                  
,260531,7-269030,REFLUJO GASTRICO Y MICROASPIRACION PULMONAR       
260532,DINAMICA TRANSITO INTESTINAL.                     ,1-260532,DINAMICA TRANSITO INTESTINAL.                         
,260532,,
260533,CENTELLOGRAFIA PARA DETECCION DE HEMORRAGIA DIGESTIVA      ,7-269022,HEMORRAGIA DIGESTIVA FITATO COLOIDAL                  
,260533,7-269023,HEMORRAGIA DIGESTIVA POOL SANGUINEO               
260534,RASTREO TOTAL - CENTELLOGRAMA - CON GALIO 67,7-269009,CENTELLOGRAMA CEREBRAL CON GALIO                      
260535,RASTREO TOTAL - CENTELLOGRAMA - CON MARCACIONES ESPECIALES (IGG O ANTIBIOTICO MARCADO),7-269020,DETECCION FOCOS INFECCIOSOS DE CELULAS MARCADAS CO    
260536,RASTREO TOTAL CON OCTREOTIDE (OCTREOSCAN),,
260536,RASTREO TOTAL CON OCTREOTIDE (OCTREOSCAN),7-265035,RASTREO CON OCTREOSCAN-IN-111                     
260537,SPECT CON GALIO,7-269032,SPECT CON GALIO 67                                    
260537,SPECT CON GALIO,7-265000,SPECT DE OTRAS REGIONES
,260537,7-269035,SPECT OSEO                                        
27.,27. NEFROLOGIA,CELDA VACÍA,
270101,HEMODIALISIS CON RIÑON ARTIFICIAL EN INSUFICIENCIA AGUDA - ADULTOS -,1-270101,HEMODIALISIS CON RINON ARTIFICIAL/AGUDOS              
270102,HEMODIALISIS CON RIÑON ARTIFICIAL EN INSUFICIENCIA CRONICA - ADULTOS -   ,1-270102,HEMODIALISIS CON RINON ARTIFICIAL/ CRONICOS           
270103,HEMODIALISIS PERITONEAL EN INTERNACION,1-270103,DIALISIS PERITONEAL CONT. C/CICLADORA                 
270104,HEMODIALISIS PERITONEAL CONTINUA  AMBULATORIA        ,7-270104,DIALISIS PERITONEAL CONT. AMB. MANUAL                 
,270104,7-270105,HEMODIALISIS CRON PAC ADUL S/DESC HEMODIALIZADOR  
,270104,7-270106,HEMODIALISIS CRON PAC ADUL C/DESC HEMODIALIZADOR  
,270104,7-270108,HEMODIALISIS CRON PAC EN TRANSITO                 
,270104,7-277001,MODULO DE HEMODIALISIS                            
270107,HEMODIALISIS CRONICA EN PACIENTES PEDIATRICOS                 ,7-270107,HEMODIALISIS CRON PAC PEDIATRICOS                     
270109,HEMODIAFILTRACION ONLINE ,7-270109,HEMODIAFILTRACION ONLINE CRONICA DE ALTO VOLUMEN      
,270109,7-277002,MODULO HEMODIAFILTRACION ON LINE CRON DE ALTO VOL 
270114,HEMODIALISIS AGUDO EXTENDIDA  - ADULTOS -           ,7-270114,HEMODIALISIS HOSP AGUDO EXTENDIDA                     
,270114,7-270113,HEMODIALISIS HOSP AGUDO CONVENCIONAL              
270115,HEMODIALISIS AGUDA EN PACIENTES PEDIATRICOS,7-270115,HEMODIALISIS HOSP AGUDO CONVENCIONAL PEDIATRICA       
270116,HEMODIALISIS AGUDO EXTENDIDA PEDIATRICA      ,7-270116,HEMODIALISIS HOSP AGUDO EXTENDIDA PEDIATRICA          
270117,HEMODIALISIS PERITONEAL ADULTOS                  ,7-270117,DIALISIS PERITONEAL AGUDA HOSP                        
270118,HEMODIALISIS PERITONEAL PEDIATRICA         ,7-270118,DIALISIS PERITONEAL AGUDA HOSP C/ PD PAED             
270123,COLOCACION CATETER Y PERIODO ENTRENAMIENTO (DPCA)   ,7-270123,COLOCACIOM CATETER Y PERIODO ENTRENAMIENTO (DP)       
270124,DIALISIS PERITONEAL - CAPD - CON SISTEMA MANUAL,,
270125,DIALISIS PERITONEAL AUTOMATICA - APD - SISTEMA AUTOMATIZADO CON CICLADORA,,
28.,28. NEUMONOLOGIA,CELDA VACÍA,
280101,ESPIROMETRIA.                                     ,1-280101,ESPIROMETRIA.                                         
280102,ESPIROMETRIA ANTES Y DESPUES DE BRONCODILATADORES ,1-280102,ESPIROMETRIA ANTES Y DESPUES DE BRONCODILATADORES     
280103,BRONCOESPIROMETRIA.                               ,1-280103,BRONCOESPIROMETRIA.                                   
280104,TRAQUEOSCOPIA.                                    ,1-280104,TRAQUEOSCOPIA.                                        
280105,BRONCOSCOPIA CON INSTRUMENTAL RIGIDO              ,1-280105,BRONCOSCOPIA CON INSTRUMENTAL RIGIDO                  
,280105,7-286019,VIDEOBRONCOSCOPIA RIGIDA                          
280106,BRONCOFIBROSCOPIA (CON O SIN VIDEO)                  ,1-280106,BRONCOFIBROSCOPIA.                                    
,280106,7-286007,BRONCOFIBROSCOPIA - MODULO 7 -                    
,280106,7-286017,VIDEO FIBROBRONCOSCOPIA                           
,280106,7-286020,CEPILLADO BACTERIOLOGICO POR VIDEOFIBROBRONCOSCOPI
,280106,7-289031,VIDEOBRONCOSCOPIA DIAGNOSTICA                     
